# logM sfr_mean sfr_std
9.0 -2.5165717956260885 0.4908824107570759
9.2 -2.4989856881751975 0.4308194326352186
9.4 -2.442675625986037 0.4492756053066527
9.6 -2.447561494460422 0.4329500919738995
9.8 -2.3784516133647937 0.4234387203822033
10.0 -2.295082008306239 0.43312273373339344
10.2 -2.1414053740446612 0.45124505882274124
10.4 -1.918778307842794 0.47154308790968635
10.6 -1.6224294923739777 0.4944230009631414
10.8 -1.2195301882228835 0.45194085463223843
11.0 -0.8212984392726504 0.3900141018837109
11.2 -0.4322490617065606 0.3042472296494905
11.4 -0.0816078406431468 0.28461208662935544
11.6 0.14824709544659712 0.392076594812331
11.8 0.26217422096614507 0.5197836459912668
12.0 0.3827401346205534 0.5601977823636516
12.2 0.4866177953601149 0.5546110421722181
12.4 0.6261966860129778 0.42852562232449604
12.6 0.8008557641211321 0.3221518145108839
12.8 0.9646890440241418 0.2717514588296412
13.0 0.9780694697563022 0.2763973579167621
13.2 1.22403503882005 0.23761034521193986
13.4 1.3822867364352476 0.20450628270557186
13.6 1.4988262117362183 0.20408440212120546
13.8 1.6692080994208744 0.22054665022184367
14.0 1.8478968377267684 0.16816496340478249
14.2 1.9194017710258926 0.12983672591619635
14.4 nan nan
14.6 nan nan
14.8 nan nan
