#logM sfr_mean sfr_std
9.0 -2.516572 0.49088243
9.2 -2.5008788 0.43079528
9.4 -2.4434428 0.44825292
9.6 -2.4482403 0.43265283
9.8 -2.3778577 0.42275202
10.0 -2.2948084 0.43198055
10.2 -2.137488 0.45011917
10.4 -1.9173976 0.46990374
10.6 -1.6324484 0.4995794
10.8 -1.248676 0.47264448
11.0 -0.8631419 0.4272299
11.2 -0.4805393 0.35346076
11.4 -0.14615676 0.32280943
11.6 0.07443065 0.41013938
11.8 0.15259847 0.5807359
12.0 0.19655505 0.67644614
12.2 0.14680962 0.771587
12.4 0.20630541 0.68338186
12.6 0.39610142 0.46409702
12.8 0.4922543 0.44183695
13.0 0.54306716 0.3294101
13.2 0.8342174 0.31912306
13.4 0.95216656 0.34202746
13.6 0.96995354 0.27118933
13.8 1.2573439 0.27820444
14.0 1.5502515 0.15698081
14.2 1.6277272 0.091533884
14.4 nan nan
14.6 nan nan
14.8 nan nan
