sfr,phi,number
-3.0863805,0.013916666666666667,4175
-2.7253084,0.02168,6504
-2.3804498,0.02948,8844
-2.0527916,0.03957666666666667,11873
-1.7272285,0.035853333333333334,10756
-1.4013261,0.030956666666666667,9287
-1.0715717,0.0218,6540
-0.7401674,0.014893333333333333,4468
-0.40506607,0.011153333333333333,3346
-0.07711681,0.008166666666666666,2450
0.25189236,0.005656666666666667,1697
0.5719478,0.0030366666666666667,911
0.8822138,0.0007466666666666666,224
1.2029858,0.00010666666666666667,32
1.6170954,1.3333333333333333e-05,4
1.7558273,3.3333333333333333e-06,1
