# logM sfr_mean sfr_std
9.0 nan nan
9.2 -2.063593 0.0
9.4 -2.0064864 0.73011386
9.6 -2.4743142 0.45085722
9.8 -2.515287 0.46103498
10.0 -2.4685836 0.4630742
10.2 -2.461348 0.42689767
10.4 -2.374852 0.47196892
10.6 -2.2372131 0.48867875
10.8 -2.111073 0.5365805
11.0 -1.960422 0.5914883
11.2 -1.7798774 0.64807093
11.4 -1.5335284 0.6862639
11.6 -1.4182588 0.6841427
11.8 -1.3203616 0.6906231
12.0 -1.268359 0.72245204
12.2 -1.2377056 0.77038145
12.4 -1.2795254 0.8006014
12.6 -1.3238633 0.8366925
12.8 -1.3602352 0.8566021
13.0 -1.3662577 0.8719398
13.2 -1.3620707 0.9189948
13.4 -1.2719172 0.9294422
13.6 -1.3104651 0.9507443
13.8 -1.178359 0.95844674
14.0 -1.178384 0.92150706
14.2 -1.1454215 0.8725321
14.4 nan nan
14.6 nan nan
14.8 nan nan
