#k, Pk, shotnoise
0.04341288312123372 71795.84134615384 51526.95915231529
0.08702917279381502 67070.30263157895 51526.95915231529
0.1383580533618277 61620.17727272727 51526.95915231529
0.18816021908589495 59989.85365853659 51526.95915231529
0.23625913419086358 55719.941379310345 51526.95915231529
0.28659649923986236 53189.03211991435 51526.95915231529
0.336496845727412 53709.7527333894 51526.95915231529
0.38526394865674995 51995.24937027707 51526.95915231529
0.4353385396840001 51815.99619771863 51526.95915231529
0.48579519714601554 51966.964742347925 51526.95915231529
0.5357681057561946 53904.96658097686 51526.95915231529
0.5857795564823571 52624.378421472225 51526.95915231529
0.6358369352385822 52431.403093721565 51526.95915231529
0.6855912190764698 51539.7329143755 51526.95915231529
0.7357376365332933 52916.63911661369 51526.95915231529
0.785888316635595 52350.62679425837 51526.95915231529
0.8354508673961637 51751.15677966102 51526.95915231529
0.8853431150659767 51174.94596802427 51526.95915231529
0.9357076450136291 51597.48519362187 51526.95915231529
0.9855134011183664 50821.37577907758 51526.95915231529
1.0355603946178449 51773.87744107744 51526.95915231529
1.0856093068854897 51056.08078258126 51526.95915231529
1.1352793302749726 50882.07871782143 51526.95915231529
1.1855424738245635 51801.35684647303 51526.95915231529
1.235589962480957 51297.34700277409 51526.95915231529
1.2854141752703863 51505.84488980181 51526.95915231529
1.335103210186715 51503.98666944387 51526.95915231529
1.3849150178231553 51158.15712383489 51526.95915231529
1.4353360222887381 51985.07717338727 51526.95915231529
1.485613306637673 51257.84267420589 51526.95915231529
1.535354716705412 51688.822095984324 51526.95915231529
1.5853718463791757 51424.70265961302 51526.95915231529
1.635383384573632 51515.9994486561 51526.95915231529
1.6851318639482276 51416.137059947534 51526.95915231529
1.735224381186698 51950.0421613763 51526.95915231529
1.7852024682840006 51706.00161793597 51526.95915231529
1.8351534362292543 51422.552519469245 51526.95915231529
1.8852386227218252 50820.11997315575 51526.95915231529
1.9351796775515677 51248.35290949595 51526.95915231529
1.9852060540040126 51808.136777550644 51526.95915231529
2.0352229355666753 51620.802411133765 51526.95915231529
2.0851975909499876 51101.64576189174 51526.95915231529
2.1353618591114527 51472.07816128774 51526.95915231529
2.1852158606399072 51674.21543233811 51526.95915231529
2.235016101084209 51099.38590487345 51526.95915231529
2.2851621441693877 51709.51277921715 51526.95915231529
2.3350632002792198 51191.79501057082 51526.95915231529
2.3851032403022625 51395.25035179737 51526.95915231529
2.4352231747130406 51317.25463450927 51526.95915231529
2.485164951691251 51330.403426352685 51526.95915231529
2.5351776357427003 51410.27552914965 51526.95915231529
2.5852819577913158 51182.76036665212 51526.95915231529
2.635367029706435 51297.73113437999 51526.95915231529
