#k, Pk, shotnoise
0.04341288312123372 70156.57211538462 3598.289449321791
0.08702917279381502 44074.368421052626 3598.289449321791
0.1383580533618277 35735.55454545454 3598.289449321791
0.18816021908589495 31620.441734417345 3598.289449321791
0.23625913419086358 24513.32068965517 3598.289449321791
0.28659649923986236 23235.445396145613 3598.289449321791
0.336496845727412 22332.094196804035 3598.289449321791
0.38526394865674995 20763.69395465995 3598.289449321791
0.4353385396840001 20078.31939163498 3598.289449321791
0.48579519714601554 18833.342115459123 3598.289449321791
0.5357681057561946 19374.45629820051 3598.289449321791
0.5857795564823571 18796.666489503055 3598.289449321791
0.6358369352385822 17901.441310282076 3598.289449321791
0.6855912190764698 18706.397486252947 3598.289449321791
0.7357376365332933 17770.005019240423 3598.289449321791
0.785888316635595 18123.314593301435 3598.289449321791
0.8354508673961637 17896.89406779661 3598.289449321791
0.8853431150659767 17625.388260007003 3598.289449321791
0.9357076450136291 17656.823358873473 3598.289449321791
0.9855134011183664 17398.03394381053 3598.289449321791
1.0355603946178449 17279.236363636366 3598.289449321791
1.0856093068854897 17083.679394130642 3598.289449321791
1.1352793302749726 16833.891497056946 3598.289449321791
1.1855424738245635 16963.202282157676 3598.289449321791
1.235589962480957 16636.42407429743 3598.289449321791
1.2854141752703863 16543.61450063843 3598.289449321791
1.335103210186715 16533.7637992085 3598.289449321791
1.3849150178231553 16056.022826707249 3598.289449321791
1.4353360222887381 15868.420210193042 3598.289449321791
1.485613306637673 16067.919507733244 3598.289449321791
1.535354716705412 15574.528501469147 3598.289449321791
1.5853718463791757 15694.181897238932 3598.289449321791
1.635383384573632 15474.028945554788 3598.289449321791
1.6851318639482276 15479.35563688182 3598.289449321791
1.735224381186698 15310.06057669009 3598.289449321791
1.7852024682840006 15169.773257829655 3598.289449321791
1.8351534362292543 14906.720646894419 3598.289449321791
1.8852386227218252 14893.6600072273 3598.289449321791
1.9351796775515677 14893.615804548459 3598.289449321791
1.9852060540040126 14745.71715294555 3598.289449321791
2.0352229355666753 14516.9640989274 3598.289449321791
2.0851975909499876 14510.303831022658 3598.289449321791
2.1353618591114527 14380.899175142149 3598.289449321791
2.1852158606399072 14262.975727025978 3598.289449321791
2.235016101084209 14375.900591109566 3598.289449321791
2.2851621441693877 14266.91128072264 3598.289449321791
2.3350632002792198 14079.523720930232 3598.289449321791
2.3851032403022625 14060.01176922093 3598.289449321791
2.4352231747130406 13884.252216504434 3598.289449321791
2.485164951691251 13835.641537116351 3598.289449321791
2.5351776357427003 13733.753948984548 3598.289449321791
2.5852819577913158 13625.674378000873 3598.289449321791
2.635367029706435 13568.11154978675 3598.289449321791
2.685276266805426 13486.351391370947 3598.289449321791
2.7350574577609077 13363.650034445429 3598.289449321791
2.7849721239192875 13237.427886828531 3598.289449321791
2.8351149786725958 13153.13844336408 3598.289449321791
2.8853070427774172 13051.581512144307 3598.289449321791
2.935323261063467 13007.564393616114 3598.289449321791
2.985188638080608 12939.925580627862 3598.289449321791
3.035129942492686 12846.985053847913 3598.289449321791
3.0852485783280996 12711.872976911867 3598.289449321791
