#k, Pk, shotnoise
0.04341288312123372 71990.42307692308 10929.090154378304
0.08702917279381502 66710.5592105263 10929.090154378304
0.1383580533618277 61867.19545454545 10929.090154378304
0.18816021908589495 59864.56910569106 10929.090154378304
0.23625913419086358 55453.72758620689 10929.090154378304
0.28659649923986236 52802.42398286938 10929.090154378304
0.336496845727412 53406.371740958784 10929.090154378304
0.38526394865674995 51508.52392947103 10929.090154378304
0.4353385396840001 51000.186311787074 10929.090154378304
0.48579519714601554 51672.65710964742 10929.090154378304
0.5357681057561946 53331.089974293056 10929.090154378304
0.5857795564823571 51535.93196917353 10929.090154378304
0.6358369352385822 51058.955414012744 10929.090154378304
0.6855912190764698 50166.93479968578 10929.090154378304
0.7357376365332933 51489.9702191735 10929.090154378304
0.785888316635595 50407.296650717704 10929.090154378304
0.8354508673961637 50046.11440677966 10929.090154378304
0.8853431150659767 49162.13513828918 10929.090154378304
0.9357076450136291 49305.19445019673 10929.090154378304
0.9855134011183664 48563.609933838336 10929.090154378304
1.0355603946178449 49336.253198653205 10929.090154378304
1.0856093068854897 48329.11833385927 10929.090154378304
1.1352793302749726 47966.6724345791 10929.090154378304
1.1855424738245635 48669.464730290456 10929.090154378304
1.235589962480957 47816.151489567 10929.090154378304
1.2854141752703863 47537.40787209238 10929.090154378304
1.335103210186715 47330.47948344095 10929.090154378304
1.3849150178231553 46695.411070953014 10929.090154378304
1.4353360222887381 47214.80181170573 10929.090154378304
1.485613306637673 46321.06169965075 10929.090154378304
1.535354716705412 46421.30993143976 10929.090154378304
1.5853718463791757 45956.628741213135 10929.090154378304
1.635383384573632 46034.13700895933 10929.090154378304
1.6851318639482276 45231.7310619555 10929.090154378304
1.735224381186698 45779.50860189 10929.090154378304
1.7852024682840006 45171.30798566971 10929.090154378304
1.8351534362292543 44436.48527935311 10929.090154378304
1.8852386227218252 43782.22456249032 10929.090154378304
1.9351796775515677 43586.22321231854 10929.090154378304
1.9852060540040126 44033.75432075823 10929.090154378304
2.0352229355666753 43603.751440475135 10929.090154378304
2.0851975909499876 43189.89232743568 10929.090154378304
2.1353618591114527 42705.50300312325 10929.090154378304
2.1852158606399072 42723.56603334626 10929.090154378304
2.235016101084209 42389.66088977545 10929.090154378304
2.2851621441693877 42174.67348224915 10929.090154378304
2.3350632002792198 41542.25549260042 10929.090154378304
2.3851032403022625 41596.553153383655 10929.090154378304
2.4352231747130406 41248.28768057536 10929.090154378304
2.485164951691251 41040.25964402685 10929.090154378304
2.5351776357427003 40756.94912736725 10929.090154378304
2.5852819577913158 40565.89436927106 10929.090154378304
2.635367029706435 40232.92187025471 10929.090154378304
2.685276266805426 40332.62353842226 10929.090154378304
2.7350574577609077 40091.458714693435 10929.090154378304
2.7849721239192875 39772.469541199935 10929.090154378304
2.8351149786725958 39443.27938570585 10929.090154378304
2.8853070427774172 39235.25702067 10929.090154378304
2.935323261063467 39217.41059998293 10929.090154378304
2.985188638080608 39116.62786188688 10929.090154378304
3.035129942492686 38841.873091954134 10929.090154378304
3.0852485783280996 38228.90542302677 10929.090154378304
3.1353289416304984 38251.96729512787 10929.090154378304
3.185162918877009 37784.28390026795 10929.090154378304
3.235126001934966 37799.91345012913 10929.090154378304
3.2851865492140133 37547.42672593297 10929.090154378304
3.3350534059974843 37293.670684858924 10929.090154378304
3.3850939970033616 37109.58806881419 10929.090154378304
3.43511475165383 36992.29066165167 10929.090154378304
3.4850854195331293 36523.582172198985 10929.090154378304
3.5352082343345357 36473.92635755384 10929.090154378304
3.585149270750284 36336.35542328137 10929.090154378304
3.635054437042299 36177.24478515679 10929.090154378304
3.685084700566753 35939.30006194619 10929.090154378304
3.73509944865768 35712.4926153745 10929.090154378304
3.785051007483472 35429.50119081154 10929.090154378304
3.835038522570464 35588.1991789134 10929.090154378304
3.8850978264484968 35276.35392482369 10929.090154378304
3.935166238680769 35068.14773453212 10929.090154378304
3.985142781648064 34897.107621893076 10929.090154378304
4.035189059350149 34873.33887229695 10929.090154378304
4.085190017250174 34537.32044989325 10929.090154378304
4.135083680485083 34300.872429929135 10929.090154378304
4.185096781549818 34098.45587145139 10929.090154378304
4.235143734713746 33943.515194858934 10929.090154378304
4.285212920650457 33821.66615534793 10929.090154378304
4.335156942132565 33625.57641801576 10929.090154378304
4.385075689502319 33628.26948485872 10929.090154378304
4.435182893855874 33317.41567766658 10929.090154378304
4.485134787079134 33321.57168867053 10929.090154378304
4.535153570409619 33081.249050466016 10929.090154378304
4.585195490118877 32963.95839316359 10929.090154378304
4.634988284169842 32723.237609004784 10929.090154378304
4.684988536401403 32551.72290815032 10929.090154378304
4.735055149526006 32480.270959922695 10929.090154378304
4.784992601884696 32258.105848288124 10929.090154378304
4.835102168559994 32268.130343498047 10929.090154378304
4.885240090770058 32089.926885416986 10929.090154378304
4.935164821322969 31984.624012143136 10929.090154378304
4.985095062831815 31851.012524155834 10929.090154378304
5.035126019612272 31651.549190032052 10929.090154378304
5.085108160495513 31534.14190799169 10929.090154378304
5.135080190698462 31327.423245080525 10929.090154378304
5.185025723828203 31287.391470340153 10929.090154378304
5.2350215730461525 31122.32918831559 10929.090154378304
5.285111848206311 30851.30897131851 10929.090154378304
5.335115651977223 30985.240903157184 10929.090154378304
5.385119770278601 30694.89429087373 10929.090154378304
5.4351926098243855 30639.657043736835 10929.090154378304
5.485189311357592 30613.96190017174 10929.090154378304
5.535152917170193 30506.37663954045 10929.090154378304
5.585120407661825 30357.9994823164 10929.090154378304
5.635126411356671 30151.069463939337 10929.090154378304
5.685141241486292 30092.561956447695 10929.090154378304
5.735061725145519 29975.66385353475 10929.090154378304
5.785052612665086 29891.487191829903 10929.090154378304
5.835135366980581 29822.70837676643 10929.090154378304
5.885165526969623 29663.930297247724 10929.090154378304
5.935080912247088 29532.789739197644 10929.090154378304
5.985070685813989 29603.766972065212 10929.090154378304
6.035090765810211 29408.210483324045 10929.090154378304
6.085074017002084 29238.948663672872 10929.090154378304
